魂斗罗;开发一款评分至少为70%的动作游戏。
吃豆人;开发一款评分至少为70%的技巧游戏。
马里奥医生;开发一款评分至少为70%的益智游戏。
猴岛的秘密;开发一款评分至少为70%的冒险游戏。
龙与地下城;开发一款评分至少为70%的角色扮演游戏。
文明;开发一款评分至少为70%的策略游戏。
超级马里奥世界;开发一款评分至少为70%的横版游戏。
太空船：精英;开发一款评分至少为70%的模拟游戏。
FIFA;开发一款评分至少为70%的体育游戏。
疯狂游戏大亨;开发一款评分至少为70%的模拟经营游戏。
街头霸王;开发一款评分至少为70%的格斗游戏。
模拟城市:1602;开发一款评分至少为70%的模拟建筑游戏。
龙洞;开发一款评分至少为70%的交互式电影。
指挥官尤里;开发一款评分至少为70%的即时战略游戏。
DOOM;开发一款第一人称射击游戏。
胜过一本书;开发一款评分至少为70%的交互式小说。
马克斯·佩恩;开发一款评分至少为70%的第三人称射击游戏。
疾风驱动器;开发一款评分至少为70%的竞速游戏。
复古浪潮;创造一款复古游戏。
魔兽世界;开发一款网络游戏。
这游戏真的是免费的吗?;开发一款免费游戏。
投入硬币!;开发一款街机游戏。
每个人都喜欢贪吃蛇;开发一款手机游戏。
天生就是程序员;创建自己的引擎。
第一次主机大战;开发自己的家用主机。
这适合我的口袋;开发自己的掌机。
额外津贴;开发一款合同游戏。
捆绑包;发行一套游戏捆绑包。
折扣;发行一款特惠游戏。
完整版;发行一套DLC游戏包。
衍生品;开发一款游戏衍生品。
Ⅰ, Ⅱ,Ⅲ , Ⅳ;开发一款游戏的续作.
游戏移植变得简单;将游戏移植到其他平台。
比原版更好?;开发一款游戏的重制版。
流行牵头者;你的一款游戏引领新潮流。
年度最佳游戏;你的一款游戏获得年度最佳游戏奖。
年度最佳开发商;获得年度最佳开发商奖。
年度最佳发行商;获得年度最佳发行商奖。
养眼;你的一款游戏获得最佳画面奖。
伟大的配乐;你的一款游戏获得最佳音效奖。
这不可能是对的!;你的一款游戏被评为年度最差游戏。
宣传过度!;为你的一款游戏创造游戏热点。
承包商;与出版商签订独占合同。
那可是一大堆工作啊!;在合同中获得100%的声望。
现在我要发财了;在没有发行商的情况下制作和发行游戏。
这就是未来!;在游戏中到达2050年。
出版商!;发行NPC公司的游戏。
我最好的朋友!;最大化与发行商的关系。
黄金奖杯;一款游戏的销量达到100万份。
铂金奖杯;一款游戏的销量达到1000万份。
钻石奖杯;一款游戏的销量达到5000万份。
80%;开发一款评分至少为80%的游戏。
90%;开发一款评分至少为90%的游戏。
100%;开发一款评分为100%的游戏。
每个人都喜欢我!;至少有100万粉丝。
我不喜欢独自一人;和至少一个朋友开始多人游戏。
这是我的团队!;和四个朋友开始一场多人游戏。
知识产权;最大化IP的受欢迎程度。
传奇游戏公司;最大化工作室的声誉。
技艺精湛;拥有一名具有100级技能等级的员工。
小雇主;招募至少20名员工。
经理;招募至少50名员工。
董事长;招募至少100名员工。
零花钱;至少有5000万美元。
这还不够!;至少有5亿美元。
三个逗号俱乐部;至少有10亿美元。
第二次主机大战;一款主机的销量达到1000万份。
主导市场的产品;一款主机的销量达到5000万份。
我叫席德·梅尔;聘请一位传奇开发者。
